Dia,Valor
1,20.02
2,21.88
3,19.85
4,18.89
5,20.82
6,19.73
7,20.14
8,19.23
9,17.85
10,19.44
11,22.68
12,21.33
13,19.42
14,19.41
15,20.14
16,18.88
17,17.29
18,18.90
19,21.80
20,20.49
21,19.47
22,19.47
23,19.80
24,18.88
25,19.00
26,20.06
27,21.17
28,20.16
29,20.41
30,20.16
31,20.25
32,18.90
33,19.13
34,20.44
35,19.25
36,20.69
37,20.73
38,20.10
39,20.61
40,17.60
41,18.91
42,18.75
43,20.55
44,19.66
45,20.39
46,20.91
47,20.60
48,17.60
49,18.79
50,20.58
51,18.30
52,20.27
53,20.59
54,20.45
55,19.88
56,19.24
57,17.32
58,18.69
59,20.44
60,21.14
61,18.79
62,20.47
63,20.57
64,20.08
65,20.45
66,19.20
67,17.49
68,19.79
69,21.07
70,20.75
71,20.34
72,20.26
73,19.69
74,19.21
75,17.42
76,19.97
77,20.89
78,21.07
79,20.24
80,20.26
81,20.12
82,19.00
83,19.15
84,18.69
85,21.55
86,18.72
87,21.24
88,20.39
89,19.85
90,19.96
91,18.17
92,19.71
93,18.74
94,19.65
95,20.25
96,20.28
97,19.85
98,19.61
99,20.09
100,17.08
101,18.71
102,16.92
103,18.27
104,20.50
105,15.80
106,17.42
107,21.38
108,20.72
109,18.95
110,16.58
111,18.40
112,20.71
113,15.90
114,20.62
115,21.33
116,18.22
117,19.00
118,17.57
119,18.80
120,18.42
121,19.09
122,15.89
123,20.76
124,21.20
125,18.17
126,19.08
127,18.11
128,15.93
129,20.91
130,20.91
131,18.21
132,19.06
133,18.13
134,20.75
135,18.63
136,17.49
137,21.19
138,21.02
139,18.37
140,18.85
141,17.41
142,19.09
143,20.40
144,18.28
145,17.48
146,20.95
147,20.91
148,21.73
149,18.84
150,17.43
151,19.11
152,20.16
153,18.02
154,15.92
155,17.49
156,20.65
157,22.05
158,18.94
159,17.60
160,17.83
161,19.56
162,15.67
163,17.78
164,20.93
165,22.44
166,18.07
167,19.37
168,17.34
169,17.51
170,19.31
171,15.30
172,20.94
173,21.02
174,18.57
175,19.79
176,17.44
177,18.77
178,17.49
179,17.99
180,15.51
181,21.36
182,20.80
183,18.32
184,18.88
185,17.67
186,18.08
187,15.68
188,17.63
189,21.12
190,22.60
191,17.96
192,18.46
193,17.91
194,18.85
195,18.08
196,17.55
197,21.55
198,23.16
199,24.86
200,22.86
201,21.75
202,14.46
203,13.44
204,11.96
205,11.87
206,25.61
207,23.07
208,22.45
209,22.75
210,20.53
211,11.62
212,13.30
213,12.56
214,12.51
215,25.23
216,23.24
217,19.81
218,13.23
219,13.67
220,12.37
221,12.31
222,25.61
223,23.05
224,18.99
225,15.10
226,7.92
227,11.41
228,11.91
229,25.54
230,22.37
231,22.43
232,23.26
233,16.74
234,13.03
235,8.33
236,11.20
237,12.28
238,23.25
239,22.74
240,23.20
241,16.66
242,12.98
243,13.35
244,9.61
245,11.97
246,12.18
247,22.69
248,22.19
249,18.05
250,16.23
251,12.40
252,9.23
253,11.96
254,11.98
255,25.70
256,21.42
257,21.89
258,16.98
259,17.11
260,12.34
261,11.20
262,11.93
263,25.43
264,21.29
265,22.55
266,22.80
267,17.16
268,13.53
269,12.21
270,10.56
271,11.89
272,25.30
273,23.25
274,17.87
275,13.41
276,10.88
277,8.74
278,9.89
279,11.63
280,25.46
281,23.23
282,17.17
283,17.03
284,13.32
285,8.57
286,9.56
287,11.92
288,25.90
289,23.01
290,23.05
291,22.97
292,16.85
293,12.93
294,8.90
295,10.44
296,11.58
297,11.60
298,13.54
299,10.67
300,9.58
301,8.07
302,11.24
303,9.26
304,8.24
305,11.41
306,8.93
307,8.83
308,8.80
309,11.85
310,13.86
311,10.82
312,9.06
313,9.19
314,13.97
315,10.76
316,9.10
317,9.43
318,13.40
319,10.31
320,8.72
321,9.62
322,12.22
323,13.16
324,10.36
325,8.43
326,9.48
327,12.30
328,13.27
329,10.67
330,9.20
331,8.80
332,12.72
333,8.84
334,9.07
335,12.98
336,9.00
337,8.63
338,9.54
339,12.79
340,13.19
341,10.80
342,8.82
343,10.57
344,13.70
345,10.45
346,9.16
347,11.34
348,19.78
349,18.03
350,18.93
351,22.56
352,13.10
353,17.48
354,22.93
355,10.49
356,21.18
357,18.18
358,22.67
359,19.62
360,8.28
361,19.94
362,19.10
363,16.54
364,11.03
365,20.97
366,18.06
367,13.00
368,9.99
369,19.20
370,17.80
371,8.73
372,19.81
373,21.90
374,20.30
375,11.05
376,17.25
377,23.94
378,11.52
379,19.64
380,12.70
381,18.94
382,23.80
383,13.19
384,21.29
385,17.52
386,23.25
387,10.30
388,21.54
389,16.14
390,8.34
391,20.16
